   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
15950,11/27/2004,2,I-O-F,1,9,10,1,1,RMB,CO-71,1
15952,11/27/2004,2,I-O-L,8,10.3,18.3,8,8,WBRC,CO-25,8
15972,11/27/2004,2,I-O-F,8,10.3,18.3,8,8,WBRC,CO-29,8
16863,11/21/2004,2,others,1,20.3,21.3,1,1,RMB,CO-71,1
16893,11/20/2004,2,others,9.75,9,18.45,9.45,9.45,others,"CO-61,64",9.75
17261,11/17/2004,2,BF-LS,9.5,9,18.3,9.3,9.3,others,CO-1,9.5
17476,11/16/2004,2,others,0.5,1.3,2,0.3,0.3,BRC,CO-32,0.5
17608,11/14/2004,2,others,9,9,18,9,9,others,"CO-7,10",9
18155,11/10/2004,2,others,1.333333,14,15.2,1.2,1.2,LOCP,CO-44,1.333333
18158,11/10/2004,2,others,1.083333,7.1,8.15,1.05,1.05,LOCP,CO-45,1.083333
18418,11/8/2004,2,BF-DOL,2.5,7.45,10.15,2.3,2.3,OT-1,CO-13,2.5
18848,11/5/2004,2,I-O-F,9.75,8,17.45,9.45,9.45,others,"CO-17,77",9.75
20096,10/27/2004,2,I-O-F,8.5,9.3,18,8.3,8.3,others,"CO-7,10,13",8.5
20710,10/22/2004,2,others,1.75,15.35,17.2,1.45,1.45,OT-3,CO-15,1.75
21323,10/17/2004,2,I-O-L,10,8,18,10,10,others,CO-15,10
21983,10/12/2004,2,others,9,9.15,18.15,9,9,others,CO-25,9
22494,10/8/2004,2,I-O-F,8.25,10,18.15,8.15,8.15,others,"CO-63,66",8.25
23320,9/30/2004,2,others,9.75,9,18.45,9.45,9.45,others,CO-5,9.75
23418,9/29/2004,2,others,2.583333,15.5,18.25,2.35,2.35,OT-3,CO-66,2.583333
23992,9/24/2004,2,others,1,10,11,1,1,others,CO-69,1
25175,9/15/2004,2,BF-LS,10.333333,13.1,23.3,10.2,10.2,others,CO-18,10.333333
25217,9/14/2004,2,others,1.333333,13.1,14.3,1.2,1.2,OT-2,CO-18,1.333333
25668,9/10/2004,2,BF-LS,10.333333,13.1,23.3,10.2,10.2,others,CO-18,10.333333
26523,9/4/2004,2,SZD-OR,2,11,13,2,2,others,CO-66,2
26952,8/31/2004,2,others,7.5,10.3,18,7.3,7.3,WBRC,CO-29,7.5
27225,8/30/2004,2,I-O-F,10.333333,9.5,20.1,10.2,10.2,BRC,CO-34,10.333333
27736,8/25/2004,2,others,1.833333,9,10.5,1.5,1.5,WBRC,CO-26,1.833333
28326,8/21/2004,2,others,2.5,0,2.3,2.3,2.3,BRC,CO-34,2.5
28852,8/16/2004,2,others,1.833333,15.1,17,1.5,1.5,OT-1,CO-4,1.833333
29256,8/13/2004,2,I-O-L,9.666667,9,18.4,9.4,9.4,others,CO-78,9.666667
29910,8/8/2004,2,I-O-F,2,11,13,2,2,LOCP,CO-113,2
30442,8/4/2004,2,others,1.333333,1.3,2.5,1.2,1.2,WBRC,CO-70,1.333333
